student_id,immigrant,female,minority,distance_band,ses_father,ses_mother,avg_kttx_h1,abs_phep_h1,abs_nophep_h1,diem_giua_ky,abs_phep_h2,abs_nophep_h2,delta_phep_h2,delta_nophep_h2,kttx3,kttx4,diem_cuoi_ky,tb_hoc_ky,y
MK2_0627,1,1,0,0,2,2,8.75,0,0,7.5,0,0,0,0,7.0,7.5,8.0,7.9,1
MK2_0628,0,1,0,1,0,2,7.4,0,0,6.5,0,0,0,0,6.8,6.3,5.3,6.3,1
MK2_0629,0,1,0,0,2,1,6.0,1,0,4.5,2,0,1,0,6.0,9.0,3.5,5.2,1
MK2_0630,0,0,0,0,2,4,4.5,0,0,6.3,0,0,0,0,9.0,7.0,6.0,6.2,1
MK2_0631,0,0,0,0,2,1,9.0,0,0,9.5,0,0,0,0,10.0,10.0,9.0,9.3,1
MK2_0632,0,0,0,0,1,1,8.0,3,0,6.8,3,0,0,0,7.0,4.0,4.8,6.1,1
MK2_0633,0,0,0,0,1,3,7.5,0,0,6.5,0,0,0,0,5.0,10.0,4.8,6.4,1
MK2_0634,1,1,0,1,3,3,8.5,0,0,8.8,0,0,0,0,8.0,9.0,4.3,7.2,1
MK2_0635,0,0,0,1,3,1,5.5,0,0,4.5,0,0,0,0,5.0,8.0,4.0,5.0,1
MK2_0636,0,1,0,1,1,1,6.5,0,0,3.8,0,0,0,0,3.0,5.0,2.8,4.1,0
MK2_0637,0,0,0,2,3,3,8.0,0,0,6.3,1,0,1,0,7.0,9.0,4.5,6.5,1
MK2_0638,1,1,0,1,1,1,6.5,2,0,5.0,2,0,0,0,4.0,5.0,3.5,4.7,0
MK2_0639,0,0,0,1,2,1,9.5,0,0,7.3,0,0,0,0,8.0,10.0,6.8,8.0,1
MK2_0640,0,1,0,1,1,1,7.5,0,0,6.8,0,0,0,0,6.0,5.0,4.3,5.8,1
MK2_0641,0,0,0,1,2,1,7.0,0,0,5.0,0,0,0,0,4.0,7.0,7.0,6.2,1
MK2_0642,0,0,0,0,4,2,8.5,0,0,8.3,0,0,0,0,7.0,9.0,7.5,8.0,1
MK2_0643,0,1,0,0,3,3,9.5,0,0,8.8,0,0,0,0,10.0,10.0,7.8,8.9,1
MK2_0644,0,1,0,2,4,4,10.0,0,0,8.5,0,0,0,0,9.0,9.0,8.5,8.9,1
MK2_0645,0,0,0,1,0,1,7.5,1,0,6.0,2,0,1,0,6.0,8.0,3.8,5.8,1
MK2_0646,1,1,0,0,2,1,7.0,0,0,8.5,0,0,0,0,3.0,9.0,9.0,7.8,1
MK2_0647,0,0,0,0,1,1,5.0,0,0,6.0,1,0,1,0,4.0,6.0,6.0,5.6,1
