dataset,a0_code,a0,a1_code,a1,n_a0,n_a1,TV,TV_lo,TV_hi,CtfDE,CtfDE_lo,CtfDE_hi,CtfIE,CtfIE_lo,CtfIE_hi,CtfSE,CtfSE_lo,CtfSE_hi,n_boot_valid,condition_Y0
THCSMK,2,Fem×LowSES,0,Male×LowSES,75,109,-0.0216089340106266,-0.0582124723760861,0.0355729700176053,0.0,0.0,0.0,-0.0692994474898388,-0.1079585625319945,-0.0178865342769207,0.0476905134792121,0.0094872005090743,0.1053235197242025,80,True
THCSMK,2,Fem×LowSES,1,Male×HighSES,75,13,0.0378667218051427,-0.0957720766942087,0.0929564841007495,0.0587515410405382,-0.0013746165316452,0.1478595640604412,0.0260317996306641,-0.0250325604189479,0.0926757789059657,-0.0469166188660596,-0.2065372412288801,0.0008142838766667,79,True
THCSMK,2,Fem×LowSES,3,Fem×HighSES,75,10,0.0471949939422545,-0.1196747152396035,0.1045734625147548,0.0587515410405382,-0.0020315967204227,0.164100088317052,0.0571228846152657,0.0067727838199035,0.1538035001737607,-0.0686794317135494,-0.2942634955115255,0.0049493021433159,78,True
UCI-Por,2,Fem×LowSES,0,Male×LowSES,36,29,0.0036341616860234,-0.0212646587083157,0.0874935490595713,0.0,0.0,0.0,-0.0856248793275181,-0.1709644082864925,0.0035532157151086,0.0892590410135416,0.0102395214939762,0.1939922967302114,80,True
UCI-Por,2,Fem×LowSES,1,Male×HighSES,36,21,0.0351448022811529,-0.0607931389103577,0.1101677145399279,0.0688030289942808,0.0106962677471507,0.1038615835262313,-0.0526689207171551,-0.1968917352608413,0.0920181126336472,0.0190106940040273,-0.137752295289389,0.1818361061103933,80,True
UCI-Por,2,Fem×LowSES,3,Fem×HighSES,36,14,-0.010800247442234,-0.0622516043949062,0.0917970584840833,0.0688030289942808,0.0106962677471507,0.1038615835262313,0.1036531341421412,0.0023985552148281,0.2001267204992121,-0.1832564105786562,-0.27765385953388,-0.0241289966294945,80,True
