dataset,config,a0,a1,n_a0,n_a1,TV,TV_lo,TV_hi,CtfDE,CtfDE_lo,CtfDE_hi,CtfIE,CtfIE_lo,CtfIE_hi,CtfSE,CtfSE_lo,CtfSE_hi
UCI-Por,SES-aware,Fem×LowSES,Male×HighSES,36,21,0.03514480228115299,-0.060793138910357744,0.11016771453992799,0.06880302899428081,0.010696267747150717,0.10386158352623137,-0.05266892071715512,-0.19689173526084133,0.09201811263364724,0.0190106940040273,-0.137752295289389,0.18183610611039333
UCI-Por,SES-unaware,Fem×LowSES,Male×HighSES,36,21,0.016455648936908013,-0.05909011679475367,0.10299013743200564,0.0,0.0,0.0,-0.04784165426355946,-0.19441818069026925,0.09413942006558301,0.06429730320046748,-0.07047619126192173,0.1944218136378023
