dataset,a0_code,a0,a1_code,a1,n_a0,n_a1,TV,TV_lo,TV_hi,CtfDE,CtfDE_lo,CtfDE_hi,CtfIE,CtfIE_lo,CtfIE_hi,CtfSE,CtfSE_lo,CtfSE_hi,n_boot_valid,condition_Y0
UCI-Por,2,Fem×LowSES,0,Male×LowSES,36,29,0.003634161686023485,-0.021264658708315766,0.08749354905957131,0.0,0.0,0.0,-0.08562487932751817,-0.1709644082864925,0.003553215715108607,0.08925904101354165,0.010239521493976297,0.19399229673021143,80,True
UCI-Por,2,Fem×LowSES,1,Male×HighSES,36,21,0.03514480228115299,-0.060793138910357744,0.11016771453992799,0.06880302899428081,0.010696267747150717,0.10386158352623137,-0.05266892071715512,-0.19689173526084133,0.09201811263364724,0.0190106940040273,-0.137752295289389,0.18183610611039333,80,True
UCI-Por,2,Fem×LowSES,3,Fem×HighSES,36,14,-0.010800247442234095,-0.06225160439490625,0.09179705848408333,0.06880302899428081,0.010696267747150717,0.10386158352623137,0.10365313414214128,0.0023985552148281138,0.2001267204992121,-0.1832564105786562,-0.27765385953388005,-0.024128996629494515,80,True
