dataset,config,a0,a1,n_a0,n_a1,TV,TV_lo,TV_hi,CtfDE,CtfDE_lo,CtfDE_hi,CtfIE,CtfIE_lo,CtfIE_hi,CtfSE,CtfSE_lo,CtfSE_hi
THCSMK,SES-aware,Fem×LowSES,Male×HighSES,75,13,0.0378667218051427,-0.0957720766942087,0.0929564841007495,0.0587515410405382,-0.0013746165316452,0.1478595640604412,0.0260317996306641,-0.0250325604189479,0.0926757789059657,-0.0469166188660596,-0.2065372412288801,0.0008142838766667
THCSMK,SES-unaware,Fem×LowSES,Male×HighSES,75,13,0.0548255824027763,-0.047050865735419,0.1588565207025683,0.0,0.0,0.0,0.029315914877297,-0.0103895029868581,0.0959026685396614,0.0255096675254793,-0.0852214866369108,0.12153283083958
UCI-Por,SES-aware,Fem×LowSES,Male×HighSES,36,21,0.0351448022811529,-0.0607931389103577,0.1101677145399279,0.0688030289942808,0.0106962677471507,0.1038615835262313,-0.0526689207171551,-0.1968917352608413,0.0920181126336472,0.0190106940040273,-0.137752295289389,0.1818361061103933
UCI-Por,SES-unaware,Fem×LowSES,Male×HighSES,36,21,0.016455648936908,-0.0590901167947536,0.1029901374320056,0.0,0.0,0.0,-0.0478416542635594,-0.1944181806902692,0.094139420065583,0.0642973032004674,-0.0704761912619217,0.1944218136378023
