dataset,a0_code,a0,a1_code,a1,n_a0,n_a1,TV,TV_lo,TV_hi,CtfDE,CtfDE_lo,CtfDE_hi,CtfIE,CtfIE_lo,CtfIE_hi,CtfSE,CtfSE_lo,CtfSE_hi,n_boot_valid,condition_Y0
THCSMK,2,Fem×LowSES,0,Male×LowSES,75,109,-0.02160893401062669,-0.05821247237608616,0.03557297001760538,0.0,0.0,0.0,-0.06929944748983885,-0.10795856253199458,-0.017886534276920735,0.04769051347921216,0.00948720050907433,0.10532351972420259,80,True
THCSMK,2,Fem×LowSES,1,Male×HighSES,75,13,0.03786672180514278,-0.0957720766942087,0.09295648410074957,0.05875154104053826,-0.0013746165316452458,0.14785956406044123,0.026031799630664154,-0.025032560418947997,0.09267577890596572,-0.046916618866059634,-0.20653724122888012,0.0008142838766667511,79,True
THCSMK,2,Fem×LowSES,3,Fem×HighSES,75,10,0.047194993942254515,-0.11967471523960356,0.10457346251475486,0.05875154104053826,-0.0020315967204227845,0.16410008831705208,0.05712288461526571,0.006772783819903575,0.15380350017376077,-0.06867943171354945,-0.29426349551152553,0.004949302143315942,78,True
