dataset,model,config,AUC,FPR@0.5,ECE,n,pass_rate
THCSMK,LR,SES-aware,0.7608902101655726,0.28019323671497587,0.1506071127799187,675,0.6933333333333334
THCSMK,RF,SES-aware,0.7525857797596929,0.5265700483091788,0.09038110212118357,675,0.6933333333333334
THCSMK,LR,SES-unaware,0.7610966596473843,0.2753623188405797,0.15066303689363694,675,0.6933333333333334
THCSMK,RF,SES-unaware,0.7402297782732565,0.5120772946859904,0.09948264350762542,675,0.6933333333333334
UCI-Por,LR,SES-aware,0.9440892531876137,0.13,0.1187530253249262,649,0.8459167950693375
UCI-Por,RF,SES-aware,0.9324225865209471,0.42,0.030272108749954608,649,0.8459167950693375
UCI-Por,LR,SES-unaware,0.9445810564663024,0.13,0.118759639217254,649,0.8459167950693375
UCI-Por,RF,SES-unaware,0.9326684881602915,0.43,0.03574017400645188,649,0.8459167950693375
